rank,niche,city,opportunity_score,niche_score,city_score,est_monthly_rent_usd,avg_job_value_usd,best_lead_model
138,Towing & Roadside,"Atlanta, GA",72.2,75.0,68.0,1550,150,pay_per_call
139,Towing & Roadside,"Jacksonville, FL",72.2,75.0,68.0,1500,150,pay_per_call
140,Roofing (Repair & Storm),"Las Vegas, NV",72.0,75.0,67.5,2950,9000,ppl_or_revshare
141,Towing & Roadside,"Las Vegas, NV",72.0,75.0,67.5,1500,150,pay_per_call
142,Junk Removal,"Raleigh, NC",72.0,70.0,75.0,1150,400,flat_monthly
143,Foundation Repair,"Houston, TX",71.9,72.5,71.0,2850,9000,flat_or_ppl
144,Foundation Repair,"Tampa, FL",71.9,72.5,71.0,2750,9000,flat_or_ppl
145,Foundation Repair,"Orlando, FL",71.9,72.5,71.0,2750,9000,flat_or_ppl
146,Foundation Repair,"Charlotte, NC",71.9,72.5,71.0,2750,9000,flat_or_ppl
147,Foundation Repair,"Nashville, TN",71.9,72.5,71.0,2750,9000,flat_or_ppl
148,Foundation Repair,"San Antonio, TX",71.9,72.5,71.0,2700,9000,flat_or_ppl
149,Tree Removal & Trimming,"Houston, TX",71.9,72.5,71.0,2000,1200,pay_per_lead
150,Garage Door Repair,"Houston, TX",71.9,72.5,71.0,2000,450,pay_per_call
151,Tree Removal & Trimming,"Tampa, FL",71.9,72.5,71.0,1950,1200,pay_per_lead
152,Tree Removal & Trimming,"Orlando, FL",71.9,72.5,71.0,1950,1200,pay_per_lead
153,Tree Removal & Trimming,"Charlotte, NC",71.9,72.5,71.0,1950,1200,pay_per_lead
154,Tree Removal & Trimming,"Nashville, TN",71.9,72.5,71.0,1950,1200,pay_per_lead
155,Garage Door Repair,"Tampa, FL",71.9,72.5,71.0,1950,450,pay_per_call
156,Garage Door Repair,"Orlando, FL",71.9,72.5,71.0,1950,450,pay_per_call
157,Garage Door Repair,"Charlotte, NC",71.9,72.5,71.0,1950,450,pay_per_call
158,Garage Door Repair,"Nashville, TN",71.9,72.5,71.0,1950,450,pay_per_call
159,Tree Removal & Trimming,"San Antonio, TX",71.9,72.5,71.0,1900,1200,pay_per_lead
160,Garage Door Repair,"San Antonio, TX",71.9,72.5,71.0,1900,450,pay_per_call
161,Auto Glass & Windshield,"Houston, TX",71.9,72.5,71.0,1600,350,pay_per_call
162,Auto Glass & Windshield,"Tampa, FL",71.9,72.5,71.0,1550,350,pay_per_call
163,Auto Glass & Windshield,"Orlando, FL",71.9,72.5,71.0,1550,350,pay_per_call
164,Auto Glass & Windshield,"Charlotte, NC",71.9,72.5,71.0,1550,350,pay_per_call
165,Auto Glass & Windshield,"Nashville, TN",71.9,72.5,71.0,1550,350,pay_per_call
166,Auto Glass & Windshield,"San Antonio, TX",71.9,72.5,71.0,1500,350,pay_per_call
167,Junk Removal,"Austin, TX",71.8,70.0,74.5,1200,400,flat_monthly
168,Junk Removal,"Greenville, SC",71.8,70.0,74.5,1100,400,flat_monthly
169,Junk Removal,"Cape Coral-Fort Myers, FL",71.8,70.0,74.5,1100,400,flat_monthly
170,Dumpster Rental,"Boise, ID",71.7,67.5,78.0,1400,450,pay_per_call
171,Junk Removal,"Phoenix, AZ",71.6,70.0,74.0,1200,400,flat_monthly
172,Junk Removal,"Dallas-Fort Worth, TX",71.4,70.0,73.5,1200,400,flat_monthly
173,Foundation Repair,"Oklahoma City, OK",71.1,72.5,69.0,2650,9000,flat_or_ppl
174,Tree Removal & Trimming,"Oklahoma City, OK",71.1,72.5,69.0,1850,1200,pay_per_lead
175,Garage Door Repair,"Oklahoma City, OK",71.1,72.5,69.0,1850,450,pay_per_call
176,Auto Glass & Windshield,"Oklahoma City, OK",71.1,72.5,69.0,1500,350,pay_per_call
177,Junk Removal,"Huntsville, AL",71.0,70.0,72.5,1100,400,flat_monthly
178,Junk Removal,"Charleston, SC",70.8,70.0,72.0,1100,400,flat_monthly
179,Junk Removal,"Colorado Springs, CO",70.8,70.0,72.0,1100,400,flat_monthly
180,Foundation Repair,"Atlanta, GA",70.7,72.5,68.0,2800,9000,flat_or_ppl
181,Foundation Repair,"Jacksonville, FL",70.7,72.5,68.0,2650,9000,flat_or_ppl
182,Tree Removal & Trimming,"Atlanta, GA",70.7,72.5,68.0,1950,1200,pay_per_lead
183,Garage Door Repair,"Atlanta, GA",70.7,72.5,68.0,1950,450,pay_per_call
184,Tree Removal & Trimming,"Jacksonville, FL",70.7,72.5,68.0,1850,1200,pay_per_lead
185,Garage Door Repair,"Jacksonville, FL",70.7,72.5,68.0,1850,450,pay_per_call
186,Auto Glass & Windshield,"Atlanta, GA",70.7,72.5,68.0,1550,350,pay_per_call
187,Auto Glass & Windshield,"Jacksonville, FL",70.7,72.5,68.0,1500,350,pay_per_call
188,Foundation Repair,"Las Vegas, NV",70.5,72.5,67.5,2700,9000,flat_or_ppl
189,Tree Removal & Trimming,"Las Vegas, NV",70.5,72.5,67.5,1900,1200,pay_per_lead
190,Garage Door Repair,"Las Vegas, NV",70.5,72.5,67.5,1900,450,pay_per_call
191,Auto Glass & Windshield,"Las Vegas, NV",70.5,72.5,67.5,1500,350,pay_per_call
192,Dumpster Rental,"Raleigh, NC",70.5,67.5,75.0,1450,450,pay_per_call
193,Junk Removal,"Houston, TX",70.4,70.0,71.0,1200,400,flat_monthly
194,Junk Removal,"San Antonio, TX",70.4,70.0,71.0,1150,400,flat_monthly
195,Junk Removal,"Tampa, FL",70.4,70.0,71.0,1150,400,flat_monthly
196,Junk Removal,"Orlando, FL",70.4,70.0,71.0,1150,400,flat_monthly
197,Junk Removal,"Charlotte, NC",70.4,70.0,71.0,1150,400,flat_monthly
198,Junk Removal,"Nashville, TN",70.4,70.0,71.0,1150,400,flat_monthly
199,Dumpster Rental,"Austin, TX",70.3,67.5,74.5,1450,450,pay_per_call
200,Dumpster Rental,"Cape Coral-Fort Myers, FL",70.3,67.5,74.5,1400,450,pay_per_call
201,Dumpster Rental,"Greenville, SC",70.3,67.5,74.5,1350,450,pay_per_call
202,Bath & Kitchen Remodel,"Boise, ID",70.2,65.0,78.0,2900,15000,pay_per_lead
203,Concrete & Driveway,"Boise, ID",70.2,65.0,78.0,1850,4500,pay_per_lead
204,Asphalt Paving & Sealcoat,"Boise, ID",70.2,65.0,78.0,1850,5000,pay_per_lead
205,Fence Installation,"Boise, ID",70.2,65.0,78.0,1650,4000,flat_monthly
206,Pest Control,"Boise, ID",70.2,65.0,78.0,1500,300,flat_or_revshare
207,Dumpster Rental,"Phoenix, AZ",70.1,67.5,74.0,1450,450,pay_per_call
208,Dumpster Rental,"Dallas-Fort Worth, TX",69.9,67.5,73.5,1500,450,pay_per_call
209,Junk Removal,"Oklahoma City, OK",69.6,70.0,69.0,1100,400,flat_monthly
210,Dumpster Rental,"Huntsville, AL",69.5,67.5,72.5,1350,450,pay_per_call
211,Dumpster Rental,"Charleston, SC",69.3,67.5,72.0,1400,450,pay_per_call
212,Dumpster Rental,"Colorado Springs, CO",69.3,67.5,72.0,1400,450,pay_per_call
213,Junk Removal,"Atlanta, GA",69.2,70.0,68.0,1200,400,flat_monthly
214,Junk Removal,"Jacksonville, FL",69.2,70.0,68.0,1100,400,flat_monthly
215,Bath & Kitchen Remodel,"Raleigh, NC",69.0,65.0,75.0,3050,15000,pay_per_lead
216,Concrete & Driveway,"Raleigh, NC",69.0,65.0,75.0,1950,4500,pay_per_lead
217,Asphalt Paving & Sealcoat,"Raleigh, NC",69.0,65.0,75.0,1950,5000,pay_per_lead
218,Fence Installation,"Raleigh, NC",69.0,65.0,75.0,1700,4000,flat_monthly
219,Pest Control,"Raleigh, NC",69.0,65.0,75.0,1550,300,flat_or_revshare
220,Junk Removal,"Las Vegas, NV",69.0,70.0,67.5,1150,400,flat_monthly
221,Dumpster Rental,"Houston, TX",68.9,67.5,71.0,1500,450,pay_per_call
222,Dumpster Rental,"Tampa, FL",68.9,67.5,71.0,1450,450,pay_per_call
223,Dumpster Rental,"Orlando, FL",68.9,67.5,71.0,1450,450,pay_per_call
224,Dumpster Rental,"Charlotte, NC",68.9,67.5,71.0,1450,450,pay_per_call
225,Dumpster Rental,"Nashville, TN",68.9,67.5,71.0,1450,450,pay_per_call
226,Dumpster Rental,"San Antonio, TX",68.9,67.5,71.0,1400,450,pay_per_call
227,Bath & Kitchen Remodel,"Austin, TX",68.8,65.0,74.5,3100,15000,pay_per_lead
228,Bath & Kitchen Remodel,"Cape Coral-Fort Myers, FL",68.8,65.0,74.5,2900,15000,pay_per_lead
229,Bath & Kitchen Remodel,"Greenville, SC",68.8,65.0,74.5,2850,15000,pay_per_lead
230,Concrete & Driveway,"Austin, TX",68.8,65.0,74.5,1950,4500,pay_per_lead
231,Asphalt Paving & Sealcoat,"Austin, TX",68.8,65.0,74.5,1950,5000,pay_per_lead
232,Concrete & Driveway,"Cape Coral-Fort Myers, FL",68.8,65.0,74.5,1850,4500,pay_per_lead
233,Asphalt Paving & Sealcoat,"Cape Coral-Fort Myers, FL",68.8,65.0,74.5,1850,5000,pay_per_lead
234,Concrete & Driveway,"Greenville, SC",68.8,65.0,74.5,1800,4500,pay_per_lead
235,Asphalt Paving & Sealcoat,"Greenville, SC",68.8,65.0,74.5,1800,5000,pay_per_lead
236,Fence Installation,"Austin, TX",68.8,65.0,74.5,1750,4000,flat_monthly
237,Fence Installation,"Cape Coral-Fort Myers, FL",68.8,65.0,74.5,1650,4000,flat_monthly
238,Fence Installation,"Greenville, SC",68.8,65.0,74.5,1600,4000,flat_monthly
239,Pest Control,"Austin, TX",68.8,65.0,74.5,1550,300,flat_or_revshare
240,Pest Control,"Cape Coral-Fort Myers, FL",68.8,65.0,74.5,1500,300,flat_or_revshare
241,Pest Control,"Greenville, SC",68.8,65.0,74.5,1450,300,flat_or_revshare
242,Solar Installation,"Boise, ID",68.7,62.5,78.0,3700,18000,pay_per_lead
243,Artificial Turf Install,"Boise, ID",68.7,62.5,78.0,1650,7000,flat_monthly
244,Epoxy Garage Flooring,"Boise, ID",68.7,62.5,78.0,1500,3000,flat_monthly
245,Pressure Washing,"Boise, ID",68.7,62.5,78.0,1100,350,flat_monthly
246,Bath & Kitchen Remodel,"Phoenix, AZ",68.6,65.0,74.0,3100,15000,pay_per_lead
247,Concrete & Driveway,"Phoenix, AZ",68.6,65.0,74.0,1950,4500,pay_per_lead
248,Asphalt Paving & Sealcoat,"Phoenix, AZ",68.6,65.0,74.0,1950,5000,pay_per_lead
249,Fence Installation,"Phoenix, AZ",68.6,65.0,74.0,1750,4000,flat_monthly
250,Pest Control,"Phoenix, AZ",68.6,65.0,74.0,1550,300,flat_or_revshare
251,Bath & Kitchen Remodel,"Dallas-Fort Worth, TX",68.4,65.0,73.5,3150,15000,pay_per_lead
252,Concrete & Driveway,"Dallas-Fort Worth, TX",68.4,65.0,73.5,2000,4500,pay_per_lead
253,Asphalt Paving & Sealcoat,"Dallas-Fort Worth, TX",68.4,65.0,73.5,2000,5000,pay_per_lead
254,Fence Installation,"Dallas-Fort Worth, TX",68.4,65.0,73.5,1750,4000,flat_monthly
255,Pest Control,"Dallas-Fort Worth, TX",68.4,65.0,73.5,1600,300,flat_or_revshare
256,Dumpster Rental,"Oklahoma City, OK",68.1,67.5,69.0,1400,450,pay_per_call
257,Bath & Kitchen Remodel,"Huntsville, AL",68.0,65.0,72.5,2850,15000,pay_per_lead
258,Concrete & Driveway,"Huntsville, AL",68.0,65.0,72.5,1800,4500,pay_per_lead
259,Asphalt Paving & Sealcoat,"Huntsville, AL",68.0,65.0,72.5,1800,5000,pay_per_lead
260,Fence Installation,"Huntsville, AL",68.0,65.0,72.5,1600,4000,flat_monthly
261,Pest Control,"Huntsville, AL",68.0,65.0,72.5,1450,300,flat_or_revshare
262,Bath & Kitchen Remodel,"Charleston, SC",67.8,65.0,72.0,2900,15000,pay_per_lead
263,Bath & Kitchen Remodel,"Colorado Springs, CO",67.8,65.0,72.0,2900,15000,pay_per_lead
264,Concrete & Driveway,"Charleston, SC",67.8,65.0,72.0,1850,4500,pay_per_lead
265,Concrete & Driveway,"Colorado Springs, CO",67.8,65.0,72.0,1850,4500,pay_per_lead
266,Asphalt Paving & Sealcoat,"Charleston, SC",67.8,65.0,72.0,1850,5000,pay_per_lead
267,Asphalt Paving & Sealcoat,"Colorado Springs, CO",67.8,65.0,72.0,1850,5000,pay_per_lead
268,Fence Installation,"Charleston, SC",67.8,65.0,72.0,1650,4000,flat_monthly
269,Fence Installation,"Colorado Springs, CO",67.8,65.0,72.0,1650,4000,flat_monthly
270,Pest Control,"Charleston, SC",67.8,65.0,72.0,1500,300,flat_or_revshare
271,Pest Control,"Colorado Springs, CO",67.8,65.0,72.0,1500,300,flat_or_revshare
272,Dumpster Rental,"Atlanta, GA",67.7,67.5,68.0,1450,450,pay_per_call
273,Dumpster Rental,"Jacksonville, FL",67.7,67.5,68.0,1400,450,pay_per_call
274,Solar Installation,"Raleigh, NC",67.5,62.5,75.0,3850,18000,pay_per_lead
275,Artificial Turf Install,"Raleigh, NC",67.5,62.5,75.0,1700,7000,flat_monthly
276,Epoxy Garage Flooring,"Raleigh, NC",67.5,62.5,75.0,1550,3000,flat_monthly
277,Dumpster Rental,"Las Vegas, NV",67.5,67.5,67.5,1400,450,pay_per_call
278,Pressure Washing,"Raleigh, NC",67.5,62.5,75.0,1150,350,flat_monthly
279,Bath & Kitchen Remodel,"Houston, TX",67.4,65.0,71.0,3150,15000,pay_per_lead
280,Bath & Kitchen Remodel,"Tampa, FL",67.4,65.0,71.0,3050,15000,pay_per_lead
281,Bath & Kitchen Remodel,"Orlando, FL",67.4,65.0,71.0,3050,15000,pay_per_lead
282,Bath & Kitchen Remodel,"Charlotte, NC",67.4,65.0,71.0,3050,15000,pay_per_lead
283,Bath & Kitchen Remodel,"Nashville, TN",67.4,65.0,71.0,3050,15000,pay_per_lead
284,Bath & Kitchen Remodel,"San Antonio, TX",67.4,65.0,71.0,2950,15000,pay_per_lead
285,Concrete & Driveway,"Houston, TX",67.4,65.0,71.0,2000,4500,pay_per_lead
286,Asphalt Paving & Sealcoat,"Houston, TX",67.4,65.0,71.0,2000,5000,pay_per_lead
287,Concrete & Driveway,"Tampa, FL",67.4,65.0,71.0,1950,4500,pay_per_lead
288,Concrete & Driveway,"Orlando, FL",67.4,65.0,71.0,1950,4500,pay_per_lead
